sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Organ
SRS7729953	SRR13075732	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Trachea	NA	Adult	NA	GSM4850591: Trachea_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Trachea_cDNA	Tissue	NA	NA	SAMN16523262	Trachea
SRS7729951	SRR13075731	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Stomach	NA	Adult	NA	GSM4850590: Stomach_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Stomach_cDNA	Tissue	NA	NA	SAMN16523263	Stomach
SRS7729952	SRR13075730	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Spleen	NA	Adult	NA	GSM4850589: Spleen_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Spleen_cDNA	Tissue	NA	NA	SAMN16523264	Spleen
SRS7729950	SRR13075729	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Small.intestine	NA	Adult	NA	GSM4850588: Small.intestine_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Small.intestine_cDNA	Tissue	NA	NA	SAMN16523265	Small.intestine
SRS7729949	SRR13075728	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Skin	NA	Adult	NA	GSM4850587: Skin_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Skin_cDNA	Tissue	NA	NA	SAMN16523251	Skin
SRS7729948	SRR13075727	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Rectum	NA	Adult	NA	GSM4850586: Rectum_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Rectum_cDNA	Tissue	NA	NA	SAMN16523252	Rectum
SRS7729947	SRR13075726	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Muscle	NA	Adult	NA	GSM4850585: Muscle_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Muscle_cDNA	Tissue	NA	NA	SAMN16523253	Muscle
SRS7729946	SRR13075725	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Marrow	NA	Adult	NA	GSM4850584: Marrow_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Marrow_cDNA	Tissue	NA	NA	SAMN16523254	Marrow
SRS7729945	SRR13075724	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Lymph.node	NA	Adult	NA	GSM4850583: Lymph.node_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Lymph.node_cDNA	Tissue	NA	NA	SAMN16523255	Lymph.node
SRS7729944	SRR13075723	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Liver	NA	Adult	NA	GSM4850582: Liver_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Liver_cDNA	Tissue	NA	NA	SAMN16523256	Liver
SRS7729943	SRR13075722	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Heart	NA	Adult	NA	GSM4850581: Heart_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Heart_cDNA	Tissue	NA	NA	SAMN16523257	Heart
SRS7729942	SRR13075721	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Esophagus	NA	Adult	NA	GSM4850580: Esophagus_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Esophagus_cDNA	Tissue	NA	NA	SAMN16523258	Esophagus
SRS7729941	SRR13075720	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Common.bile.duct	NA	Adult	NA	GSM4850579: Common.bile.duct_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Common.bile.duct_cDNA	Tissue	NA	NA	SAMN16523259	Common.bile.duct
SRS7729940	SRR13075719	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Blood	NA	Adult	NA	GSM4850578: Blood_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Blood_cDNA	Tissue	NA	NA	SAMN16523260	Blood
SRS7729939	SRR13075718	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Bladder	NA	Adult	NA	GSM4850577: Bladder_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Bladder_cDNA	Tissue	NA	NA	SAMN16523261	Bladder
SRS5055866	SRR9632697	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922743: Per_R39_C16; Homo sapiens; RNA-Seq | NA | Per_R39_C16	Tissue	NA	NA	SAMN12201413	Eye
SRS5055865	SRR9632696	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922742: Per_R39_C13; Homo sapiens; RNA-Seq | NA | Per_R39_C13	Tissue	NA	NA	SAMN12201414	Eye
SRS5055864	SRR9632695	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922741: Per_R39_C12; Homo sapiens; RNA-Seq | NA | Per_R39_C12	Tissue	NA	NA	SAMN12201415	Eye
SRS5055862	SRR9632694	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922740: Per_R38_C66; Homo sapiens; RNA-Seq | NA | Per_R38_C66	Tissue	NA	NA	SAMN12201416	Eye
SRS5055863	SRR9632693	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922739: Per_R38_C65; Homo sapiens; RNA-Seq | NA | Per_R38_C65	Tissue	NA	NA	SAMN12201417	Eye
SRS5055861	SRR9632692	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922738: Per_R38_C64; Homo sapiens; RNA-Seq | NA | Per_R38_C64	Tissue	NA	NA	SAMN12201418	Eye
SRS5055860	SRR9632691	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922737: Per_R38_C43; Homo sapiens; RNA-Seq | NA | Per_R38_C43	Tissue	NA	NA	SAMN12201507	Eye
SRS5055858	SRR9632690	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922736: Per_R38_C37; Homo sapiens; RNA-Seq | NA | Per_R38_C37	Tissue	NA	NA	SAMN12201508	Eye
SRS5055859	SRR9631697	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922303: Mac_R48_C49; Homo sapiens; RNA-Seq | NA | Mac_R48_C49	Tissue	NA	NA	SAMN12201929	Eye
SRS5055857	SRR9631696	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922302: Mac_R48_C35; Homo sapiens; RNA-Seq | NA | Mac_R48_C35	Tissue	NA	NA	SAMN12201930	Eye
SRS5055856	SRR9631695	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922301: Mac_R48_C31; Homo sapiens; RNA-Seq | NA | Mac_R48_C31	Tissue	NA	NA	SAMN12201931	Eye
SRS5055855	SRR9631694	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922300: Mac_R48_C28; Homo sapiens; RNA-Seq | NA | Mac_R48_C28	Tissue	NA	NA	SAMN12201932	Eye
SRS5055854	SRR9631693	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922299: Mac_R48_C27; Homo sapiens; RNA-Seq | NA | Mac_R48_C27	Tissue	NA	NA	SAMN12201843	Eye
SRS5055853	SRR9631692	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922298: Mac_R48_C0; Homo sapiens; RNA-Seq | NA | Mac_R48_C0	Tissue	NA	NA	SAMN12201844	Eye
SRS5055852	SRR9631691	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922297: Mac_R47_C8; Homo sapiens; RNA-Seq | NA | Mac_R47_C8	Tissue	NA	NA	SAMN12201845	Eye
SRS5055851	SRR9631690	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922296: Mac_R47_C5; Homo sapiens; RNA-Seq | NA | Mac_R47_C5	Tissue	NA	NA	SAMN12201846	Eye
SRS5055850	SRR9630345	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921591: sample_R51_C42; Homo sapiens; RNA-Seq | NA | sample_R51_C42	Tissue	NA	NA	SAMN12200861	Eye
SRS5055849	SRR9630344	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921590: sample_R51_C41; Homo sapiens; RNA-Seq | NA | sample_R51_C41	Tissue	NA	NA	SAMN12200862	Eye
SRS5055848	SRR9630343	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921589: sample_R51_C3; Homo sapiens; RNA-Seq | NA | sample_R51_C3	Tissue	NA	NA	SAMN12200863	Eye
SRS5055847	SRR9630342	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921588: sample_R51_C39; Homo sapiens; RNA-Seq | NA | sample_R51_C39	Tissue	NA	NA	SAMN12200864	Eye
SRS5055846	SRR9630341	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921587: sample_R51_C38; Homo sapiens; RNA-Seq | NA | sample_R51_C38	Tissue	NA	NA	SAMN12200865	Eye
SRS5055845	SRR9630340	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921586: sample_R51_C36; Homo sapiens; RNA-Seq | NA | sample_R51_C36	Tissue	NA	NA	SAMN12200866	Eye
SRS5055844	SRR9630339	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921585: sample_R51_C34; Homo sapiens; RNA-Seq | NA | sample_R51_C34	Tissue	NA	NA	SAMN12200867	Eye
SRS5055843	SRR9630338	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921584: sample_R51_C33; Homo sapiens; RNA-Seq | NA | sample_R51_C33	Tissue	NA	NA	SAMN12200868	Eye
SRS5055842	SRR9629417	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921143: sample_R33_C22; Homo sapiens; RNA-Seq | NA | sample_R33_C22	Tissue	NA	NA	SAMN12199793	Eye
SRS5055841	SRR9629416	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921142: sample_R33_C19; Homo sapiens; RNA-Seq | NA | sample_R33_C19	Tissue	NA	NA	SAMN12199794	Eye
SRS5055840	SRR9629415	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921141: sample_R33_C17; Homo sapiens; RNA-Seq | NA | sample_R33_C17	Tissue	NA	NA	SAMN12199795	Eye
SRS5055839	SRR9629414	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921140: sample_R33_C15; Homo sapiens; RNA-Seq | NA | sample_R33_C15	Tissue	NA	NA	SAMN12199796	Eye
SRS5055838	SRR9629413	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921139: sample_R33_C14; Homo sapiens; RNA-Seq | NA | sample_R33_C14	Tissue	NA	NA	SAMN12199797	Eye
SRS5055837	SRR9629412	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921138: sample_R33_C10; Homo sapiens; RNA-Seq | NA | sample_R33_C10	Tissue	NA	NA	SAMN12199798	Eye
SRS5055836	SRR9629411	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921137: sample_R32_C70; Homo sapiens; RNA-Seq | NA | sample_R32_C70	Tissue	NA	NA	SAMN12199799	Eye
SRS5055835	SRR9629410	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921136: sample_R32_C68; Homo sapiens; RNA-Seq | NA | sample_R32_C68	Tissue	NA	NA	SAMN12199800	Eye
SRS5055834	SRR9628489	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920695: Per_R9_C51; Homo sapiens; RNA-Seq | NA | Per_R9_C51	Tissue	NA	NA	SAMN12200141	Eye
SRS5055833	SRR9628488	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920694: Per_R9_C50; Homo sapiens; RNA-Seq | NA | Per_R9_C50	Tissue	NA	NA	SAMN12200142	Eye
SRS5055832	SRR9628487	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920693: Per_R9_C49; Homo sapiens; RNA-Seq | NA | Per_R9_C49	Tissue	NA	NA	SAMN12198968	Eye
SRS5055831	SRR9628486	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920692: Per_R8_C8; Homo sapiens; RNA-Seq | NA | Per_R8_C8	Tissue	NA	NA	SAMN12198969	Eye
SRS5055830	SRR9628485	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920691: Per_R8_C5; Homo sapiens; RNA-Seq | NA | Per_R8_C5	Tissue	NA	NA	SAMN12198970	Eye
SRS5055829	SRR9628484	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920690: Per_R8_C56; Homo sapiens; RNA-Seq | NA | Per_R8_C56	Tissue	NA	NA	SAMN12198971	Eye
SRS5055828	SRR9628483	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920689: Per_R8_C53; Homo sapiens; RNA-Seq | NA | Per_R8_C53	Tissue	NA	NA	SAMN12198731	Eye
SRS5055827	SRR9628482	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920688: Per_R8_C50; Homo sapiens; RNA-Seq | NA | Per_R8_C50	Tissue	NA	NA	SAMN12198732	Eye
SRS5055826	SRR9634112	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920255: M_R71_C64; Homo sapiens; RNA-Seq | NA | M_R71_C64	Tissue	NA	NA	SAMN12196940	Eye
SRS5055825	SRR9634111	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920254: M_R71_C44; Homo sapiens; RNA-Seq | NA | M_R71_C44	Tissue	NA	NA	SAMN12196954	Eye
SRS5055824	SRR9634110	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920253: M_R71_C42; Homo sapiens; RNA-Seq | NA | M_R71_C42	Tissue	NA	NA	SAMN12196966	Eye
SRS5055823	SRR9634109	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920252: M_R71_C19; Homo sapiens; RNA-Seq | NA | M_R71_C19	Tissue	NA	NA	SAMN12196977	Eye
SRS5055822	SRR9634108	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920251: M_R70_C71; Homo sapiens; RNA-Seq | NA | M_R70_C71	Tissue	NA	NA	SAMN12197066	Eye
SRS5055821	SRR9634107	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920250: M_R70_C65; Homo sapiens; RNA-Seq | NA | M_R70_C65	Tissue	NA	NA	SAMN12196986	Eye
SRS5055820	SRR9634106	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920249: M_R70_C63; Homo sapiens; RNA-Seq | NA | M_R70_C63	Tissue	NA	NA	SAMN12196999	Eye
SRS5055819	SRR9634105	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920248: M_R70_C46; Homo sapiens; RNA-Seq | NA | M_R70_C46	Tissue	NA	NA	SAMN12197010	Eye
SRS5055818	SRR9633122	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919807: M_R10_C16; Homo sapiens; RNA-Seq | NA | M_R10_C16	Tissue	NA	NA	SAMN12191372	Eye
SRS5055817	SRR9633121	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919806: M_R10_C14; Homo sapiens; RNA-Seq | NA | M_R10_C14	Tissue	NA	NA	SAMN12191373	Eye
SRS5055816	SRR9633120	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919805: M_R10_C12; Homo sapiens; RNA-Seq | NA | M_R10_C12	Tissue	NA	NA	SAMN12191374	Eye
SRS5055815	SRR9633119	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919804: M_R0_C68; Homo sapiens; RNA-Seq | NA | M_R0_C68	Tissue	NA	NA	SAMN12191375	Eye
SRS5055813	SRR9633118	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919803: M_R0_C65; Homo sapiens; RNA-Seq | NA | M_R0_C65	Tissue	NA	NA	SAMN12191376	Eye
SRS5055814	SRR9633117	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919802: M_R0_C41; Homo sapiens; RNA-Seq | NA | M_R0_C41	Tissue	NA	NA	SAMN12191377	Eye
SRS5055812	SRR9633116	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919801: M_R0_C22; Homo sapiens; RNA-Seq | NA | M_R0_C22	Tissue	NA	NA	SAMN12191378	Eye
SRS5055811	SRR9633115	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919800: M_R0_C16; Homo sapiens; RNA-Seq | NA | M_R0_C16	Tissue	NA	NA	SAMN12191379	Eye
SRS5055810	SRR9632281	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919367: Macular_R51_C62; Homo sapiens; RNA-Seq | NA | Macular_R51_C62	Tissue	NA	NA	SAMN12190863	Eye
SRS5055809	SRR9632280	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919366: Macular_R51_C60; Homo sapiens; RNA-Seq | NA | Macular_R51_C60	Tissue	NA	NA	SAMN12190864	Eye
SRS5055808	SRR9632279	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919365: Macular_R51_C5; Homo sapiens; RNA-Seq | NA | Macular_R51_C5	Tissue	NA	NA	SAMN12190865	Eye
SRS5055807	SRR9632278	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919364: Macular_R51_C59; Homo sapiens; RNA-Seq | NA | Macular_R51_C59	Tissue	NA	NA	SAMN12190866	Eye
SRS5055806	SRR9632277	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919363: Macular_R51_C58; Homo sapiens; RNA-Seq | NA | Macular_R51_C58	Tissue	NA	NA	SAMN12190867	Eye
SRS5055805	SRR9632276	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919362: Macular_R51_C56; Homo sapiens; RNA-Seq | NA | Macular_R51_C56	Tissue	NA	NA	SAMN12190868	Eye
SRS5055804	SRR9632275	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919361: Macular_R51_C50; Homo sapiens; RNA-Seq | NA | Macular_R51_C50	Tissue	NA	NA	SAMN12190869	Eye
SRS5055803	SRR9632274	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919360: Macular_R51_C48; Homo sapiens; RNA-Seq | NA | Macular_R51_C48	Tissue	NA	NA	SAMN12190870	Eye
SRS5055802	SRR9631561	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918967: Macular_R2_C20; Homo sapiens; RNA-Seq | NA | Macular_R2_C20	Tissue	NA	NA	SAMN12190279	Eye
SRS5055801	SRR9631560	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918966: Macular_R2_C18; Homo sapiens; RNA-Seq | NA | Macular_R2_C18	Tissue	NA	NA	SAMN12190280	Eye
SRS5055800	SRR9631559	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918965: Macular_R2_C12; Homo sapiens; RNA-Seq | NA | Macular_R2_C12	Tissue	NA	NA	SAMN12190281	Eye
SRS5055799	SRR9631558	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918964: Macular_R29_C64; Homo sapiens; RNA-Seq | NA | Macular_R29_C64	Tissue	NA	NA	SAMN12190282	Eye
SRS5055798	SRR9631557	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918963: Macular_R29_C5; Homo sapiens; RNA-Seq | NA | Macular_R29_C5	Tissue	NA	NA	SAMN12190283	Eye
SRS5055797	SRR9631556	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918962: Macular_R29_C53; Homo sapiens; RNA-Seq | NA | Macular_R29_C53	Tissue	NA	NA	SAMN12190284	Eye
SRS5055796	SRR9631555	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918961: Macular_R29_C50; Homo sapiens; RNA-Seq | NA | Macular_R29_C50	Tissue	NA	NA	SAMN12190285	Eye
SRS5055795	SRR9631554	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918960: Macular_R29_C37; Homo sapiens; RNA-Seq | NA | Macular_R29_C37	Tissue	NA	NA	SAMN12190288	Eye
SRS5055793	SRR9630777	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918583: Periph_Nuc_R64_C42; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C42	Tissue	NA	NA	SAMN12190437	Eye
SRS5055794	SRR9630776	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918582: Periph_Nuc_R64_C41; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C41	Tissue	NA	NA	SAMN12190438	Eye
SRS5055792	SRR9630775	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918581: Periph_Nuc_R64_C39; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C39	Tissue	NA	NA	SAMN12190439	Eye
SRS5055791	SRR9630774	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918580: Periph_Nuc_R64_C38; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C38	Tissue	NA	NA	SAMN12190440	Eye
SRS5055790	SRR9630773	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918579: Periph_Nuc_R64_C37; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C37	Tissue	NA	NA	SAMN12190441	Eye
SRS5055789	SRR9630772	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918578: Periph_Nuc_R64_C36; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C36	Tissue	NA	NA	SAMN12190373	Eye
SRS5055788	SRR9630771	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918577: Periph_Nuc_R64_C21; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C21	Tissue	NA	NA	SAMN12190374	Eye
SRS5055787	SRR9630770	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918576: Periph_Nuc_R64_C15; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R64_C15	Tissue	NA	NA	SAMN12190375	Eye
SRS5055786	SRR9629857	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918143: Macu_Nuc_R61_C55; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C55	Tissue	NA	NA	SAMN12189584	Eye
SRS5055785	SRR9629856	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918142: Macu_Nuc_R61_C51; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C51	Tissue	NA	NA	SAMN12189585	Eye
SRS5055783	SRR9629855	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918141: Macu_Nuc_R61_C33; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C33	Tissue	NA	NA	SAMN12189586	Eye
SRS5055784	SRR9629854	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918140: Macu_Nuc_R61_C29; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C29	Tissue	NA	NA	SAMN12189587	Eye
SRS5055782	SRR9629853	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918139: Macu_Nuc_R61_C28; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C28	Tissue	NA	NA	SAMN12189588	Eye
SRS5055781	SRR9629852	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918138: Macu_Nuc_R61_C26; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C26	Tissue	NA	NA	SAMN12189589	Eye
SRS5055780	SRR9629851	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918137: Macu_Nuc_R61_C10; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R61_C10	Tissue	NA	NA	SAMN12189590	Eye
SRS5055779	SRR9629850	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918136: Macu_Nuc_R60_C6; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R60_C6	Tissue	NA	NA	SAMN12189591	Eye
SRS5055778	SRR9629009	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917695: Mac1cell_R66_C54; Homo sapiens; RNA-Seq | NA | Mac1cell_R66_C54	Tissue	NA	NA	SAMN12189210	Eye
SRS5055777	SRR9629008	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917694: Mac1cell_R66_C52; Homo sapiens; RNA-Seq | NA | Mac1cell_R66_C52	Tissue	NA	NA	SAMN12189211	Eye
SRS5055776	SRR9629007	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917693: Mac1cell_R66_C49; Homo sapiens; RNA-Seq | NA | Mac1cell_R66_C49	Tissue	NA	NA	SAMN12189212	Eye
SRS5055775	SRR9629006	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917692: Mac1cell_R66_C43; Homo sapiens; RNA-Seq | NA | Mac1cell_R66_C43	Tissue	NA	NA	SAMN12189213	Eye
